"uid"	"domainID"	"siteID"	"plotID"	"namedLocation"	"laboratoryName"	"collectDate"	"processedDate"	"geneticSampleID"	"deprecatedVialID"	"dnaSampleID"	"internalLabID"	"sequenceAnalysisType"	"testProtocolVersion"	"sampleMaterial"	"sampleMass"	"nucleicAcidConcentration"	"nucleicAcidPurity"	"nucleicAcidQuantMethod"	"dnaPooledStatus"	"qaqcStatus"	"dnaProcessedBy"	"remarks"	"dataQF"	"publicationDate"
"2429"	"126d1f4e-322c-43b5-b0b4-5b6f3588ca5a"	"D03"	"JERC"	"JERC_047"	"JERC_047.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 13:36:00	2018-03-12	"JERC_047-M-25-2.5-20170725-GEN"	NA	"JERC_047-M-25-2.5-20170725-GEN-DNA1"	"BMI_Plate36WellD8"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	7.2	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2430"	"7f873fd6-5f86-47bc-a504-e9692c44b84e"	"D03"	"JERC"	"JERC_047"	"JERC_047.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 13:55:00	2018-03-12	"JERC_047-M-3-17-20170725-GEN"	NA	"JERC_047-M-3-17-20170725-GEN-DNA1"	"BMI_Plate36WellD9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	4.6	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2431"	"896a682e-ee19-4419-be63-b5228c2eacf7"	"D03"	"JERC"	"JERC_005"	"JERC_005.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 13:56:00	2018-03-12	"JERC_005-M-11.5-7-20170725-GEN"	NA	"JERC_005-M-11.5-7-20170725-GEN-DNA1"	"BMI_Plate36WellD3"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	16	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2433"	"85cc1cee-4c05-4d8a-b983-eabe5c2e3285"	"D03"	"JERC"	"JERC_005"	"JERC_005.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 14:15:00	2018-03-12	"JERC_005-M-0-24.5-20170725-GEN"	NA	"JERC_005-M-0-24.5-20170725-GEN-DNA1"	"BMI_Plate36WellD2"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	6.2	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2434"	"f38acf32-03df-4f74-8d6f-7f3afb3c216b"	"D03"	"JERC"	"JERC_005"	"JERC_005.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 14:29:00	2018-03-12	"JERC_005-M-28-8-20170725-GEN"	NA	"JERC_005-M-28-8-20170725-GEN-DNA1"	"BMI_Plate36WellD4"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	2.9	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2435"	"a38a3469-c871-43e9-ba76-8aab59a612ea"	"D03"	"JERC"	"JERC_050"	"JERC_050.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 14:43:00	2018-03-12	"JERC_050-M-3-17-20170725-GEN"	NA	"JERC_050-M-3-17-20170725-GEN-DNA1"	"BMI_Plate36WellE3"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	14	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2437"	"e7a02514-d66b-4344-823c-0915ed596944"	"D03"	"JERC"	"JERC_050"	"JERC_050.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 14:57:00	2018-03-12	"JERC_050-M-37-29.5-20170725-GEN"	NA	"JERC_050-M-37-29.5-20170725-GEN-DNA1"	"BMI_Plate36WellE4"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	10	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2438"	"2924152f-4d83-45f0-8071-46da14e75bba"	"D03"	"JERC"	"JERC_050"	"JERC_050.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 15:10:00	2018-03-12	"JERC_050-M-25-2.5-20170725-GEN"	NA	"JERC_050-M-25-2.5-20170725-GEN-DNA1"	"BMI_Plate36WellE2"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	18	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2439"	"bd9bfd63-d9b8-4e27-91d1-c26b0a8d6975"	"D03"	"JERC"	"JERC_002"	"JERC_002.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 15:32:00	2018-03-12	"JERC_002-M-1-7.5-20170725-GEN"	NA	"JERC_002-M-1-7.5-20170725-GEN-DNA1"	"BMI_Plate36WellC5"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	17	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2442"	"a490822b-a726-44f9-88f6-858b57163a4b"	"D03"	"JERC"	"JERC_002"	"JERC_002.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 16:12:00	2018-03-12	"JERC_002-M-22-1-20170725-GEN"	NA	"JERC_002-M-22-1-20170725-GEN-DNA1"	"BMI_Plate36WellC7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	5.5	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2443"	"dbb86d4b-dd37-4243-b9c2-f4679e2531d8"	"D03"	"JERC"	"JERC_049"	"JERC_049.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 18:27:00	2018-03-12	"JERC_049-M-2-32.5-20170725-GEN"	NA	"JERC_049-M-2-32.5-20170725-GEN-DNA1"	"BMI_Plate36WellD12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	13	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2445"	"b91cf19c-cd7e-4739-9dad-442017a03cdd"	"D03"	"JERC"	"JERC_001"	"JERC_001.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 18:32:00	2018-03-12	"JERC_001-M-35.5-29.5-20170725-GEN"	NA	"JERC_001-M-35.5-29.5-20170725-GEN-DNA1"	"BMI_Plate36WellC4"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	18	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2447"	"76152f26-781e-4f47-969e-afe66920aed3"	"D03"	"JERC"	"JERC_001"	"JERC_001.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 18:43:00	2018-03-12	"JERC_001-M-1-36-20170725-GEN"	NA	"JERC_001-M-1-36-20170725-GEN-DNA1"	"BMI_Plate36WellC2"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	7.9	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2448"	"4b250afb-b73d-41f5-b8e8-5f4a90921d6a"	"D03"	"JERC"	"JERC_049"	"JERC_049.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 18:45:00	2018-03-12	"JERC_049-M-19-7-20170725-GEN"	NA	"JERC_049-M-19-7-20170725-GEN-DNA1"	"BMI_Plate36WellD11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	3	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2449"	"c6dcf64b-5ba2-49c4-a8dd-405d60e50a42"	"D03"	"JERC"	"JERC_001"	"JERC_001.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 19:00:00	2018-03-12	"JERC_001-M-32.5-9-20170725-GEN"	NA	"JERC_001-M-32.5-9-20170725-GEN-DNA1"	"BMI_Plate36WellC3"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	9.1	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2450"	"0d2cb1b4-fe27-4667-9742-d5498c6037b0"	"D03"	"JERC"	"JERC_049"	"JERC_049.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 19:02:00	2018-03-12	"JERC_049-M-39.5-13-20170725-GEN"	NA	"JERC_049-M-39.5-13-20170725-GEN-DNA1"	"BMI_Plate36WellE1"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	4.7	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2451"	"f30fd26f-3642-412c-b2db-fb54335d43fd"	"D03"	"JERC"	"JERC_048"	"JERC_048.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-25 20:00:00	2018-03-07	"JERC_048-M-8-21.5-20170725-GEN"	NA	"JERC_048-M-8-21.5-20170725-GEN-DNA1"	"BMI_Plate35WellE7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	21	NA	"Quantus"	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T140532Z"
"2453"	"138e375b-fcb7-43e9-b524-850fff2e08db"	"D03"	"JERC"	"JERC_048"	"JERC_048.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-26 12:38:00	2018-03-07	"JERC_048-M-39.5-29.5-20170726-GEN"	NA	"JERC_048-M-39.5-29.5-20170726-GEN-DNA1"	"BMI_Plate35WellD7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	8.2	NA	"Quantus"	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T140532Z"
"2454"	"4739f109-c74f-463b-b0b1-f8563565b2f6"	"D03"	"JERC"	"JERC_048"	"JERC_048.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-26 12:56:00	2018-03-07	"JERC_048-M-36-11.5-20170726-GEN"	NA	"JERC_048-M-36-11.5-20170726-GEN-DNA1"	"BMI_Plate35WellC7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	6.2	NA	"Quantus"	"N"	"Pass"	"RVyJ5B/Sf3AGJZxBT+KBZA=="	NA	NA	"20200407T140532Z"
"2455"	"626f7c56-5511-4494-b5b2-094dc38539ae"	"D03"	"JERC"	"JERC_003"	"JERC_003.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-26 12:58:00	2018-03-12	"JERC_003-M-3-31-20170726-GEN"	NA	"JERC_003-M-3-31-20170726-GEN-DNA1"	"BMI_Plate36WellC9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	14	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2457"	"438ecbfc-7b3d-4433-ba93-74abfde65649"	"D03"	"JERC"	"JERC_003"	"JERC_003.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-26 13:12:00	2018-03-12	"JERC_003-M-33-26-20170726-GEN"	NA	"JERC_003-M-33-26-20170726-GEN-DNA1"	"BMI_Plate36WellC10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	20	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2458"	"7d8030dd-7138-44e8-9ff6-4d3774970219"	"D03"	"JERC"	"JERC_003"	"JERC_003.basePlot.bgc"	"Battelle Applied Genomics"	2017-07-26 13:23:00	2018-03-12	"JERC_003-M-3-0-20170726-GEN"	NA	"JERC_003-M-3-0-20170726-GEN-DNA1"	"BMI_Plate36WellC8"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	8.8	NA	"Quantus"	"N"	"Pass"	"tZMPGFY0j845HHhOVApj3g=="	NA	NA	"20200407T140532Z"
"2459"	"167165ce-5a21-40e8-9843-57640777dcf8"	"D03"	"JERC"	"JERC_004"	"JERC_004.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-06 09:30:00	2018-10-02	"JERC_004-M-39.5-21.5-20171106-GEN"	NA	"JERC_004-M-39.5-21.5-20171106-GEN-DNA1"	"BMI_PLATE76WELLE8"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	4	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2460"	"5ea819f1-d299-4fd8-994d-4244d4bc465e"	"D03"	"JERC"	"JERC_050"	"JERC_050.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 09:22:00	2018-10-02	"JERC_050-M-34.5-37-20171107-GEN"	NA	"JERC_050-M-34.5-37-20171107-GEN-DNA1"	"BMI_PLATE76WELLG1"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	10	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2461"	"4f6cf424-6d74-4e53-a002-86fec98d42cc"	"D03"	"JERC"	"JERC_004"	"JERC_004.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 13:31:00	2018-10-02	"JERC_004-M-17-35-20171107-GEN"	NA	"JERC_004-M-17-35-20171107-GEN-DNA1"	"BMI_PLATE76WELLE7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	22	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2462"	"c2aa2b51-39d7-49a1-a0cc-1fd5d5d37066"	"D03"	"JERC"	"JERC_004"	"JERC_004.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 13:44:00	2018-10-02	"JERC_004-M-10-2.5-20171107-GEN"	NA	"JERC_004-M-10-2.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLE6"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	13	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2463"	"b63e6df7-ec04-4154-9a08-39d4b5ae3aae"	"D03"	"JERC"	"JERC_001"	"JERC_001.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 14:34:00	2018-10-02	"JERC_001-M-2-33.5-20171107-GEN"	NA	"JERC_001-M-2-33.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLD9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	10	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2464"	"217a2ed2-5993-49cf-b7c1-5a879e8036ae"	"D03"	"JERC"	"JERC_001"	"JERC_001.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 14:47:00	2018-10-02	"JERC_001-M-28-3-20171107-GEN"	NA	"JERC_001-M-28-3-20171107-GEN-DNA1"	"BMI_PLATE76WELLD10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	10	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2465"	"4f1f6894-d0ec-482a-8772-a8576ae0efc2"	"D03"	"JERC"	"JERC_001"	"JERC_001.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 14:58:00	2018-10-02	"JERC_001-M-38-25-20171107-GEN"	NA	"JERC_001-M-38-25-20171107-GEN-DNA1"	"BMI_PLATE76WELLD11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	14	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2466"	"294a02c8-afc6-454d-83e6-f09ddb0cbd73"	"D03"	"JERC"	"JERC_049"	"JERC_049.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 15:13:00	2018-10-02	"JERC_049-M-6.5-37-20171107-GEN"	NA	"JERC_049-M-6.5-37-20171107-GEN-DNA1"	"BMI_PLATE76WELLF11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	29	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2467"	"a5f800aa-dd07-4680-b6e2-3d8020f4d7e6"	"D03"	"JERC"	"JERC_049"	"JERC_049.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 15:25:00	2018-10-02	"JERC_049-M-5.5-3.5-20171107-GEN"	NA	"JERC_049-M-5.5-3.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLF10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	11	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2468"	"e1f60bec-6214-46f4-b762-e9e31e9ed845"	"D03"	"JERC"	"JERC_049"	"JERC_049.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 15:35:00	2018-10-02	"JERC_049-M-33.5-7-20171107-GEN"	NA	"JERC_049-M-33.5-7-20171107-GEN-DNA1"	"BMI_PLATE76WELLF9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	20	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2469"	"0f377f91-6e4f-44db-8313-e20a8727c372"	"D03"	"JERC"	"JERC_003"	"JERC_003.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 16:08:00	2018-10-02	"JERC_003-M-13-35-20171107-GEN"	NA	"JERC_003-M-13-35-20171107-GEN-DNA1"	"BMI_PLATE76WELLE3"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	20	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2470"	"0d7d21bc-fb10-421f-b155-1f33de7ecd31"	"D03"	"JERC"	"JERC_003"	"JERC_003.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 16:19:00	2018-10-02	"JERC_003-M-16.5-9.5-20171107-GEN"	NA	"JERC_003-M-16.5-9.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLE4"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	18	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2471"	"17c7448c-251c-4909-96c3-93a2b8826203"	"D03"	"JERC"	"JERC_048"	"JERC_048.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 16:24:00	2018-10-02	"JERC_048-M-18.5-30-20171107-GEN"	NA	"JERC_048-M-18.5-30-20171107-GEN-DNA1"	"BMI_PLATE76WELLF6"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	23	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2472"	"af0895bf-17ed-4fb8-b438-ecea1b087494"	"D03"	"JERC"	"JERC_003"	"JERC_003.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 16:31:00	2018-10-02	"JERC_003-M-33-26-20171107-GEN"	NA	"JERC_003-M-33-26-20171107-GEN-DNA1"	"BMI_PLATE76WELLE5"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	31	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2473"	"ea906263-489a-4bf6-b5eb-9d50f283f67a"	"D03"	"JERC"	"JERC_048"	"JERC_048.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 16:35:00	2018-10-02	"JERC_048-M-37.5-38.5-20171107-GEN"	NA	"JERC_048-M-37.5-38.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLF8"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	6	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2474"	"c20b161f-8876-464c-890d-b0fc232c13d4"	"D03"	"JERC"	"JERC_048"	"JERC_048.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 16:44:00	2018-10-02	"JERC_048-M-23.5-2-20171107-GEN"	NA	"JERC_048-M-23.5-2-20171107-GEN-DNA1"	"BMI_PLATE76WELLF7"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	20	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2475"	"743394f3-360c-480e-9ee6-030b18844ee6"	"D03"	"JERC"	"JERC_047"	"JERC_047.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 18:16:00	2018-10-02	"JERC_047-M-21.5-9-20171107-GEN"	NA	"JERC_047-M-21.5-9-20171107-GEN-DNA1"	"BMI_PLATE76WELLF3"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	4.8	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2476"	"6daa3b2e-7cd3-4393-bc70-d6059405aa1e"	"D03"	"JERC"	"JERC_005"	"JERC_005.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 18:16:00	2018-10-02	"JERC_005-M-35.5-14-20171107-GEN"	NA	"JERC_005-M-35.5-14-20171107-GEN-DNA1"	"BMI_PLATE76WELLE11"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	4.3	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2477"	"f1b463df-0d1f-4fc7-a37f-add1c724190e"	"D03"	"JERC"	"JERC_047"	"JERC_047.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 18:28:00	2018-10-02	"JERC_047-M-7-8-20171107-GEN"	NA	"JERC_047-M-7-8-20171107-GEN-DNA1"	"BMI_PLATE76WELLF5"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	2.7	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2478"	"29591f92-252e-4f06-9579-01dfddee33f0"	"D03"	"JERC"	"JERC_005"	"JERC_005.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 18:29:00	2018-10-02	"JERC_005-M-0-17-20171107-GEN"	NA	"JERC_005-M-0-17-20171107-GEN-DNA1"	"BMI_PLATE76WELLE9"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	18	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2479"	"a88c4f6a-156d-4ac2-ae90-06162ff69e1b"	"D03"	"JERC"	"JERC_047"	"JERC_047.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 18:37:00	2018-10-02	"JERC_047-M-34.5-37-20171107-GEN"	NA	"JERC_047-M-34.5-37-20171107-GEN-DNA1"	"BMI_PLATE76WELLF4"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	19	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2480"	"243e6790-a5e7-436a-a126-4c092c4a7292"	"D03"	"JERC"	"JERC_005"	"JERC_005.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 18:45:00	2018-10-02	"JERC_005-M-1.5-20.5-20171107-GEN"	NA	"JERC_005-M-1.5-20.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLE10"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	12	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2481"	"ba9bb159-d697-4cd6-bd0f-a7297770673b"	"D03"	"JERC"	"JERC_050"	"JERC_050.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 19:36:00	2018-10-02	"JERC_050-M-21.5-9-20171107-GEN"	NA	"JERC_050-M-21.5-9-20171107-GEN-DNA1"	"BMI_PLATE76WELLF12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	15	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2482"	"f9d45705-494b-49a1-bf5e-ab42f0207999"	"D03"	"JERC"	"JERC_006"	"JERC_006.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 19:40:00	2018-10-02	"JERC_006-M-17-1.5-20171107-GEN"	NA	"JERC_006-M-17-1.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLE12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	13	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2483"	"cc259e72-7bc8-4620-b870-a7504371eac1"	"D03"	"JERC"	"JERC_050"	"JERC_050.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 19:44:00	2018-10-02	"JERC_050-M-7-8-20171107-GEN"	NA	"JERC_050-M-7-8-20171107-GEN-DNA1"	"BMI_PLATE76WELLG2"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	21	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2484"	"1dc5e351-1f78-4f48-bd1a-133ffca65c92"	"D03"	"JERC"	"JERC_006"	"JERC_006.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 19:53:00	2018-10-02	"JERC_006-M-32.5-29.5-20171107-GEN"	NA	"JERC_006-M-32.5-29.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLF2"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	8.8	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2485"	"b9c68b73-db2e-4395-af33-d4df36551d45"	"D03"	"JERC"	"JERC_006"	"JERC_006.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 20:04:00	2018-10-02	"JERC_006-M-18.5-36.5-20171107-GEN"	NA	"JERC_006-M-18.5-36.5-20171107-GEN-DNA1"	"BMI_PLATE76WELLF1"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	17	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
"2487"	"565925ca-44a6-4954-bd71-09ba33a7f314"	"D03"	"JERC"	"JERC_002"	"JERC_002.basePlot.bgc"	"Battelle Applied Genomics"	2017-11-07 21:19:00	2018-10-02	"JERC_002-M-15.5-8-20171107-GEN"	NA	"JERC_002-M-15.5-8-20171107-GEN-DNA1"	"BMI_PLATE76WELLD12"	"marker gene"	"BMI_dnaExtractionSOP_v1"	"soil"	0.25	18	NA	"Quantus"	"N"	"Pass"	"hZbYwvE98vB2DUBZASEJ+w=="	NA	NA	"20200407T135922Z"
